Name,Year Founded,Industry,Size Range,Country,Current Employee Estimate
"savante - solutions for sales, marketing & operations",2014.0,marketing and advertising,1 - 10,united states,1
carroll creek montessori public charter school,,education management,1 - 10,,2
bedford rowing club,,sports,1 - 10,united kingdom,0
franciswhite constructions,,construction,1 - 10,,0
enviremedial services inc,,construction,11 - 50,united states,9
orcantia real estate,,real estate,1 - 10,,1
haverly systems inc,,oil & energy,11 - 50,united states,16
kingston insurance agency,,insurance,1 - 10,united states,3
"strategy solutions, inc.",1998.0,non-profit organization management,1 - 10,united states,2
personaltrainersquotes,,"health, wellness and fitness",1 - 10,,1
engineering process control,,construction,1 - 10,,3
home nursing group,1985.0,hospital & health care,11 - 50,australia,8
trayer products inc,,transportation/trucking/railroad,11 - 50,united states,6
fountain car concierge,2009.0,automotive,1 - 10,,1
filippo ruggero architetto,2002.0,internet,1 - 10,,1
growfinn wealth management,,financial services,1 - 10,,1
stepsi,2015.0,events services,1 - 10,lithuania,0
vitalia salud,2016.0,hospital & health care,1 - 10,bolivia,3
novatek,,legal services,1 - 10,united states,1
génération immobilier,2009.0,real estate,1 - 10,,1
"real living northwest, realtors",2010.0,real estate,1 - 10,united states,1
lobb sports architecture limited,,architecture & planning,1 - 10,united kingdom,0
american environmental,2007.0,environmental services,11 - 50,united states,8
magnetic systems technology sp. z o.o. sp.k.,2011.0,electrical/electronic manufacturing,51 - 200,poland,17
ocean beach sales,,real estate,1 - 10,united states,2
"medvensys, llc",,hospital & health care,1 - 10,united states,1
coperon technologies,2000.0,information technology and services,11 - 50,lebanon,5
esquire formal hire & wedding hire,,retail,1 - 10,united kingdom,0
salvage one,,legal services,1 - 10,united states,0
toykan i̇nşaat,1982.0,construction,1 - 10,turkey,0
inova health system,,hospital & health care,10001+,united states,5146
duropanel,2009.0,marketing and advertising,11 - 50,netherlands,5
nibs spectrum,,automotive,1 - 10,,1
plexus unified communications,,telecommunications,1 - 10,united states,0
salvini rüegsegger architekten,2016.0,architecture & planning,1 - 10,switzerland,2
jaya teknologi internasional,,information technology and services,1 - 10,indonesia,2
foto robert philipe de klijne,1993.0,photography,1 - 10,netherlands,0
la table ronde,2012.0,events services,1 - 10,france,0
"fairshop,llc (fairshop.com)",,retail,1 - 10,,1
"winstar properties, inc",,real estate,11 - 50,united states,8
lumen creative,2007.0,design,1 - 10,canada,0
first platinum international,,financial services,1 - 10,,1
advancemysales.com,,financial services,1 - 10,,1
becking & beekman personeelsadvies voor het mkb,2010.0,human resources,1 - 10,netherlands,0
shubham consultants,,financial services,1 - 10,,1
blastmedia,2005.0,public relations and communications,11 - 50,united states,19
the ad kitchen,,marketing and advertising,11 - 50,,4
social sampling,2010.0,marketing and advertising,11 - 50,united states,14
physicians rejuvenation centers,,"health, wellness and fitness",11 - 50,,4
ages,,legal services,201 - 500,,84
danny forster design studio,2008.0,architecture & planning,1 - 10,united states,4
ag nails,,consumer services,1 - 10,germany,1
unitech blaymires limited,,automotive,1 - 10,united kingdom,1
montepio de conductores,2009.0,insurance,11 - 50,spain,7
"morris county dental associates, llc",,hospital & health care,1 - 10,united states,0
thoolen international b.v.,1960.0,wholesale,11 - 50,netherlands,4
patientcraft,,hospital & health care,1 - 10,united states,1
imba design,2007.0,design,1 - 10,,1
skyway builders inc,,design,1 - 10,united states,1
les salons de sylvie roy,,events services,1 - 10,,1
pure concept,2005.0,information technology and services,1 - 10,france,2
jack of all trades media llc,2010.0,public relations and communications,1 - 10,united states,1
true brit,,apparel & fashion,1 - 10,,1
ragingnet,,information technology and services,1 - 10,,0
greenpoint management,,environmental services,1 - 10,romania,2
exult conserv pvt. ltd. - india,,accounting,1 - 10,,1
performer agency,2010.0,entertainment,11 - 50,netherlands,5
acol smeermiddelen center,1984.0,wholesale,1 - 10,belgium,1
€uro advisor services gmbh,,financial services,1 - 10,germany,0
sullivan family of companies,,retail,51 - 200,,42
stratégie7,2011.0,management consulting,1 - 10,canada,1
"future renewable energy systems, fres",,renewables & environment,1 - 10,saudi arabia,0
nice (nutrition information center),,"health, wellness and fitness",1 - 10,,2
hendersons legal,2001.0,law practice,1 - 10,,0
inner sol center for conscious living,2016.0,"health, wellness and fitness",1 - 10,united states,1
revenue optimization consultants,2015.0,hospitality,11 - 50,united states,19
classic ceramic tile inc,,construction,1 - 10,united states,0
art addiction,1997.0,photography,1 - 10,united states,1
glint.,2015.0,computer software,1 - 10,united states,0
datanational corporation,1979.0,information technology and services,11 - 50,united states,16
mocklab,2017.0,computer software,1 - 10,,1
limitdesigns,,design,1 - 10,,1
cristel saci,,information technology and services,1 - 10,,1
the american genius,2007.0,publishing,11 - 50,united states,13
hosting ngemeng,2008.0,internet,1 - 10,,1
bel-mar lanes,,consumer services,1 - 10,united states,0
infracon construction,,construction,1 - 10,united states,1
la mata dando,,marketing and advertising,11 - 50,,4
le multipiste,,media production,1 - 10,,1
globe retail,,retail,11 - 50,,8
"kelley, jiggins & associates",1970.0,insurance,1 - 10,united states,3
xceed systems,,information technology and services,1 - 10,,1
nyc department of information technology & telecommunications,,information technology and services,501 - 1000,united states,337
taylor park nursing home,,hospital & health care,1 - 10,united states,0
rhonda hemmingway couture,,design,1 - 10,australia,2
revotec oy,,automotive,1 - 10,,0
verii,,graphic design,1 - 10,,1
parabola developments ltd.,,construction,1 - 10,canada,1
fabcoders,,computer software,1 - 10,india,1
jamal media services,,media production,1 - 10,,0
aldi suisse ag,,retail,501 - 1000,switzerland,168
sucsez b.v.,2000.0,insurance,51 - 200,netherlands,19
lorenz latin dance studio llc,,accounting,1 - 10,united states,2
propak sheet metal ltd,1977.0,mechanical or industrial engineering,11 - 50,,10
portland works little sheffield ltd.,,transportation/trucking/railroad,1 - 10,spain,0
rm7 arquitetura,2008.0,architecture & planning,1 - 10,brazil,1
hörmann automotive gustavsburg gmbh,,automotive,11 - 50,germany,6
end now foundation,,information technology and services,1 - 10,,2
chap arnold insurance agency,1971.0,insurance,1 - 10,united states,5
future skills,2000.0,professional training & coaching,11 - 50,new zealand,5
capital 360,,real estate,1 - 10,australia,4
"strategic enterprise technology, inc.",,management consulting,1 - 10,spain,1
hilton garden inn dublin custom house,,hospitality,1 - 10,,1
kiddo science,,mechanical or industrial engineering,1 - 10,malaysia,0
north shore diagnostics,,hospital & health care,1 - 10,united states,0
yuksel,,construction,1 - 10,belgium,0
havering chamber of commerce and industry,1980.0,non-profit organization management,1 - 10,united kingdom,0
ireengineer,2010.0,management consulting,1 - 10,,1
power fil s.a de c.v.,1990.0,automotive,1 - 10,mexico,2
horecaresearch - coaching & advies,,information technology and services,1 - 10,,2
lean disruptor,,management consulting,1 - 10,ireland,1
charlie harrison baby gifts,2016.0,retail,1 - 10,,0
wallfort properties,2013.0,real estate,1 - 10,india,0
baimeni,2012.0,internet,1 - 10,,1
ambalsoft overseas software solutions,,information technology and services,1 - 10,,2
"beijing bright technology co., ltd.",2005.0,electrical/electronic manufacturing,1 - 10,china,1
namdhari events n promotions pvt. ltd.,,events services,1 - 10,,3
sentient capital london ltd,2015.0,financial services,1 - 10,united kingdom,3
peak partner,,marketing and advertising,1 - 10,,1
trend@dress medien ag,1981.0,marketing and advertising,1 - 10,germany,2
"valeria marketing, llc",2017.0,marketing and advertising,1 - 10,united states,2
grupo sojo,,construction,1 - 10,,3
argos advisors gmbh,2014.0,staffing and recruiting,1 - 10,,3
visix software,,internet,1 - 10,spain,0
cosilog,2007.0,information technology and services,1 - 10,france,3
avius di eufemia snc,,music,1 - 10,,0
efilm australia,,entertainment,1 - 10,,0
relish cuisine catering,,hospitality,1 - 10,,1
tourismtiger,2014.0,internet,11 - 50,chile,13
"katzer construction consulting, inc.",2001.0,construction,1 - 10,united states,1
protocam,1994.0,mechanical or industrial engineering,11 - 50,united states,7
blanket heat,,environmental services,1 - 10,,1
"future tech systems, inc.",1985.0,computer software,1 - 10,united states,0
triska energy,2013.0,oil & energy,11 - 50,,4
evosul construção ltda,,civil engineering,1 - 10,,1
technocable wiring specialist,,telecommunications,1 - 10,united states,0
mindscroll,,education management,11 - 50,,8
osko inc,,computer software,1 - 10,germany,1
orion coders,,computer software,11 - 50,india,7
international cricketers association,,sports,1 - 10,united kingdom,2
hi-torque,,transportation/trucking/railroad,1 - 10,australia,1
north northamptonshire joint planning & delivery unit,,higher education,1 - 10,,1
hinojosa design studio,,design,11 - 50,united states,6
lj hooker palm beach,1928.0,real estate,1 - 10,,3
healthamerica,,insurance,501 - 1000,,246
acad group,,design,1 - 10,germany,1
delish agency,2016.0,marketing and advertising,1 - 10,united states,1
found!t,2016.0,apparel & fashion,1 - 10,united states,1
"trinidad tank and fuel services ltd.,",,oil & energy,1 - 10,,1
mcgill transportation inc,1993.0,transportation/trucking/railroad,1 - 10,canada,1
finesoft,2008.0,computer software,1 - 10,poland,1
smitty's beer and wine delivery,,food & beverages,1 - 10,,0
orange personal communications services limited,,telecommunications,1 - 10,,2
sideo pmpc,,mechanical or industrial engineering,1 - 10,,3
zibrant ltd,,events services,1 - 10,,1
java republic,1999.0,food & beverages,51 - 200,ireland,33
inshortmarketing,,management consulting,1 - 10,,1
pt. arisma data setia,1991.0,information technology and services,1 - 10,indonesia,1
bay lending,,financial services,1 - 10,united states,2
soliman travel limited,,"leisure, travel & tourism",1 - 10,,0
a man around the house,,oil & energy,1 - 10,united states,1
jako rybička,2011.0,"health, wellness and fitness",1 - 10,,1
maod,2009.0,architecture & planning,1 - 10,netherlands,1
clever girl communications,,marketing and advertising,1 - 10,,0
mobius llc,,entertainment,1 - 10,united states,0
"lionshead wealth management, llc",2017.0,financial services,1 - 10,united states,1
nodtech s.a.c.,2017.0,information technology and services,1 - 10,peru,2
all about hair beauty salon,,"health, wellness and fitness",1 - 10,united states,4
poineer computer,,information technology and services,11 - 50,,10
the youth doctor academy,2017.0,medical practice,1 - 10,,2
kinetic physio and pilates,2018.0,"health, wellness and fitness",1 - 10,,1
farmhouse ventures,2015.0,real estate,1 - 10,united states,1
t-shirt tickles,2018.0,apparel & fashion,1 - 10,united states,1
"xmetryx, llc",2014.0,computer software,1 - 10,united states,2
"hammerspark, inc.",,management consulting,1 - 10,united states,1
jake critchlow design,2013.0,design,1 - 10,,2
loud technologies,,music,11 - 50,united states,23
wingenuity,2003.0,information technology and services,1 - 10,united states,0
ford park,2003.0,marketing and advertising,1 - 10,united states,3
"iscon imaging, inc.",2006.0,electrical/electronic manufacturing,1 - 10,united states,3
aktiv bedriftshelsetjeneste as,,"health, wellness and fitness",1 - 10,,2
salonwalk,,"health, wellness and fitness",1 - 10,,0
mattonurminen (matnur oy),,construction,1 - 10,finland,1
raimondo & associates,,law practice,1 - 10,united states,2
"recruiternet, inc.",,computer software,1 - 10,,0
pebblebrook hotel trust (nyse: peb),2009.0,real estate,11 - 50,united states,15
groupe grandir,,construction,1 - 10,united states,0
la's promise,2003.0,education management,11 - 50,united states,8
esquire marketing,,marketing and advertising,1 - 10,,0
agence bix,1994.0,graphic design,1 - 10,,1
amplus consulting,,financial services,11 - 50,,12
ew imports,2002.0,automotive,1 - 10,,1
"corporate consulting, inc.",,management consulting,1 - 10,united states,0
rock a.i,2016.0,computer software,1 - 10,,3
tipstr tv,,media production,1 - 10,germany,0
onerock advisory group,,management consulting,1 - 10,canada,0
timeop,2010.0,internet,1 - 10,romania,0
four for business ag,1998.0,internet,11 - 50,germany,6
focus on accounts limited,2003.0,accounting,1 - 10,united kingdom,0
whitfields solicitors,,law practice,11 - 50,,9
scott gross co.,,consumer services,1 - 10,united states,0
artesia studio,2016.0,design,1 - 10,france,0
the bogdahn group,2000.0,financial services,1 - 10,united states,3
amlaps / intcas,2011.0,education management,1 - 10,,1
time to spark,2014.0,retail,1 - 10,netherlands,1
darbys solicitors llp,1919.0,law practice,11 - 50,united kingdom,19
atech graphics and signs,,graphic design,1 - 10,,2
leeskliniek schoolbreed,2014.0,education management,1 - 10,netherlands,3
champlain orchards,1998.0,renewables & environment,1 - 10,united states,5
mpower energy,2008.0,oil & energy,11 - 50,united states,16
web wolves,2015.0,marketing and advertising,1 - 10,australia,1
snaplio,2016.0,"leisure, travel & tourism",1 - 10,denmark,0
botaclinic sa,2009.0,medical practice,11 - 50,belgium,4
woburn little league,,marketing and advertising,1 - 10,united states,0
flcom.de,,marketing and advertising,1 - 10,,0
visionoss,,information technology and services,11 - 50,,8
miller coffey tate llp,,accounting,1 - 10,united states,3
youth life foundation of richmond,2002.0,non-profit organization management,11 - 50,united states,7
nautilus health club,1999.0,"health, wellness and fitness",11 - 50,portugal,9
yancey marketing corp,,marketing and advertising,1 - 10,united states,0
"fluitron, inc.",,mechanical or industrial engineering,1 - 10,united states,0
leadingware group,2011.0,wholesale,1 - 10,united states,2
"abbadabba's, inc",,retail,11 - 50,united states,14
heritage construction and restoration llc,2017.0,construction,1 - 10,united states,1
oneeighty,,apparel & fashion,1 - 10,united states,0
keravan energia,1906.0,oil & energy,11 - 50,finland,6
rechargers,,events services,1 - 10,,3
tithof tile and marble,,construction,11 - 50,,14
reinertsen,,construction,1001 - 5000,norway,520
rickards,1980.0,accounting,1 - 10,united states,4
elevated services inc,,construction,1 - 10,united states,1
bc direct ltd,1999.0,information technology and services,1 - 10,united kingdom,0
ibn rushd ltd,,oil & energy,11 - 50,united kingdom,6
itk systems,,information technology and services,1 - 10,,1
autentic ltd,,consumer services,1 - 10,united kingdom,0
garden ponds unlimited llc,,consumer services,1 - 10,united states,0
sues house,,higher education,1 - 10,united states,1
bombero sales and marketing management,,marketing and advertising,11 - 50,netherlands,14
surrendipity,,marketing and advertising,1 - 10,,1
crossroads greenhouse,,wholesale,1 - 10,united states,0
tecnologia adelfuns,2014.0,information technology and services,1 - 10,venezuela,2
ideal europe limited,,apparel & fashion,11 - 50,united kingdom,6
the permanent legacy foundation,2014.0,computer software,1 - 10,united states,5
deals gap motorcycle resort,,retail,1 - 10,united states,3
"amplitude seguros - corretores seguros, lda",1970.0,insurance,11 - 50,portugal,15
ultimate therapy,,consumer services,1 - 10,united states,2
therapeutics unlimited,1993.0,"health, wellness and fitness",11 - 50,united states,15
tigo rwanda,,telecommunications,11 - 50,rwanda,6
shri ayurved seva sadan,1957.0,"health, wellness and fitness",1 - 10,,2
ien risk management consultants,2011.0,insurance,1 - 10,united states,1
connect sverige,1999.0,management consulting,11 - 50,sweden,5
the gallery cabaret,1987.0,consumer goods,1 - 10,united states,2
sock it dewatering,,construction,1 - 10,united states,0
kuwait pharmaceutical association,,"health, wellness and fitness",1 - 10,,0
viettel is,,information technology and services,11 - 50,,4
projectar,,architecture & planning,1 - 10,italy,1
future forward foods,2017.0,food & beverages,1 - 10,united states,2
bd online bazar,2011.0,wholesale,1 - 10,,1
fatal exceptions inc,2000.0,information technology and services,1 - 10,canada,1
module tech sdn bhd,,oil & energy,1 - 10,malaysia,0
checchi and company,,computer software,1 - 10,,1
uddan infotech ltd,2013.0,telecommunications,11 - 50,india,5
grupo wasaki engenharia,1974.0,construction,1 - 10,brazil,1
"mix nutz productions, inc.",2012.0,entertainment,1 - 10,isle of man,3
remind learning,2009.0,professional training & coaching,11 - 50,netherlands,14
the linen tree,1978.0,retail,1 - 10,united states,4
inlu,,consumer services,1 - 10,united states,2
premium personnel inc,,human resources,1 - 10,united states,1
royale concorde international school,,education management,11 - 50,india,6
"jin solution co., ltd. (주)진솔루션",2009.0,mechanical or industrial engineering,11 - 50,,4
cinder creek construction,2008.0,construction,1 - 10,united states,2
goldas kitchen inc,,wholesale,1 - 10,,1
european lifestyle medicine organization (elmo),,medical practice,11 - 50,switzerland,7
blue valley veterinary clinic,,publishing,1 - 10,united states,0
seonam university,,higher education,1 - 10,,0
promteg,2006.0,electrical/electronic manufacturing,11 - 50,netherlands,6
cylab inc.,1994.0,information technology and services,1 - 10,united states,5
i s barbosa petroleum,2002.0,oil & energy,1 - 10,brazil,1
woodfull,2013.0,consumer goods,1 - 10,netherlands,2
"southwest pension services, inc.",1978.0,financial services,1 - 10,united states,1
media business projects ltd,,media production,1 - 10,,1
acronotics limited,2017.0,computer software,11 - 50,united kingdom,15
despro engineering oy,2015.0,oil & energy,51 - 200,finland,19
housetrade.co.uk,2012.0,real estate,1 - 10,united kingdom,0
bradley plumbing & heating,,construction,1 - 10,united states,1
grumium labs,,information technology and services,1 - 10,,2
publicity support ca,2012.0,public relations and communications,1 - 10,,1
bbb umwelttechnik gmbh,1996.0,renewables & environment,1 - 10,united states,1
the wirta group,2009.0,marketing and advertising,1 - 10,united states,1
eurotrx,2010.0,financial services,1 - 10,,0
smile zone,,hospital & health care,1 - 10,united states,2
kats korner,,consumer services,1 - 10,united states,1
wu wei gung fu,1970.0,sports,1 - 10,united states,3
mestieri pr,1975.0,public relations and communications,1 - 10,,1
"park & longstreet, p.c.",2000.0,law practice,1 - 10,united states,2
scooter store,,"health, wellness and fitness",1 - 10,united states,0
farringdon group ltd,2007.0,financial services,51 - 200,malaysia,33
stichting hellendoorn rally,1982.0,non-profit organization management,1 - 10,netherlands,2
limora,2009.0,financial services,1 - 10,,2
crescendo strategies,2012.0,human resources,11 - 50,united states,9
referral,,financial services,1 - 10,united states,2
tea smith,,food & beverages,1 - 10,united states,1
proff gente & gestão,2011.0,management consulting,11 - 50,brazil,5
delhi recuiters pvt. ltd.,,staffing and recruiting,11 - 50,,4
teayudamosavendermas.com,2015.0,management consulting,1 - 10,spain,0
blueflame performance engineering,,automotive,1 - 10,,0
"svc advies, accountancy en management",2003.0,financial services,11 - 50,netherlands,11
insight risk consulting,2012.0,insurance,1 - 10,united kingdom,3
"bremer & bouman heating and cooling , inc.",,construction,1 - 10,united states,1
guardian property & asset management pty ltd,2002.0,real estate,11 - 50,australia,7
